firm,date_review,job_title,current,location,overall_rating,work_life_balance,culture_values,diversity_inclusion,career_opp,comp_benefits,senior_mgmt,recommend,ceo_approv,outlook,headline,pros,cons
Microsoft,44132, Software Engineer,"Former Employee, less than 1 year",Washi,1,1.0,1.0,1.0,1.0,1.0,1.0,x,v,v,good,pretty fun not going to lie,nothing it was just nothin
McDonald-s,42352, Student,"Former Employee, more than 3 years","Orangeburg, SC",2,5.0,2.0,,2.0,1.0,2.0,x,x,x,Cashier,"Fun place, meet alot of different people.","No benefits, and of course only pays minimum wage, even managers barely makes it past minimum wage."
IBM,44280, Executive,"Current Employee, more than 10 years",Bangalore,5,4.0,5.0,5.0,5.0,4.0,5.0,v,v,v,Great Company for new hires  - senior executive level cadre to lead & grow,"IBM has a strong heritage, lives by value system, +ve culture and gives significant empowerment, support to lead boldly. There is a growth mindset and zero tolerance towards bad behaviour. Evyerone is treated equal and there is no discrimination towards any employee regardless of level, race, gender etc. Nice to see IBM continue to advocate high integrity universally across countries.",IBM is an ocean and sometimes complex to navigate. For those who are not shy it is easy to get things done. One has to take charge to get stuff done. It does not happen automatically.
PwC,44258, Manager,Current Employee,,3,,,,,,,o,o,o,Good but can burn you out,"Collaboration,Team, Client exposure, and Autonomy","Overworked, Burnout, Busy season, and Understaffed"
Dixons-Carphone,43424, Anonymous Employee,Current Employee,,4,4.0,2.0,,3.0,3.0,3.0,o,o,r,account manager,"company discounts, good work life balance","old systems, like any other retailer struggling to keep up with the e-tailers"
J-P-Morgan,44021, Sales and Trading Associate,"Former Employee, less than 1 year","Jersey City, NJ",1,3.0,1.0,,1.0,3.0,1.0,x,v,v,Careful what you wish for,It's JP Morgan and Jamie Dimon is the Man,Jersey City is like being put in Siberia
PwC,42493, Associate,"Current Employee, more than 1 year","Kansas City, MO",4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Good,Good flexibility most of the time,"Review system isn't as transparent as they make it sound.
401K matching is terrible"
Holiday-Inn-Express,43622, Front Desk Guest Service Representative,"Former Employee, more than 10 years","Elizabethtown, PA",5,3.0,4.0,,4.0,1.0,4.0,o,o,o,Good company to work for,Working with an express company provided me the ability to always learn more and be hands on with everything.,Being the only one on desk at an express I had to handle every need personally and was worn a little thin.
Goldman-Sachs,42824, ,Former Employee,,4,3.0,5.0,,3.0,4.0,5.0,v,v,o,PCA Analyst,"Good team to work 
Good policies",long working hours and transport facilities
McKinsey-and-Company,41852, Business Analyst,"Current Employee, more than 3 years","Gurgaon, Haryana, Haryana",5,5.0,5.0,,4.0,5.0,4.0,v,r,v,McK is the best place to work,"Values & Culture, Amazing people",Very hard to find any. Practically nothing
B-and-M-Retail,44235, Replenishment Associate,"Former Employee, less than 1 year","Portsmouth, South East England, England, England",2,3.0,2.0,3.0,2.0,2.0,2.0,v,r,v,Good,The Staff are very friendly,Minimum wage when you are working so hard.
Dixons-Carphone,43105, Assistant General Manager,"Current Employee, more than 1 year",,3,2.0,1.0,,1.0,4.0,2.0,v,o,x,There's definitely worse jobs,"Good money 
Good potential for progression 
Opportunities often  present themselves",Your commission can be entirely wiped out if a colleague gives bad service
Boston-Consulting-Group,43866, Senior Finance Manager,"Current Employee, more than 5 years","Boston, MA",5,5.0,5.0,,3.0,4.0,5.0,v,v,v,Great Company / Great Culture,"Super Flexible, great office, great people",Really have to pursue opportunities for growth
McKinsey-and-Company,41723, Engagement Manager,"Current Employee, more than 3 years",,5,1.0,5.0,,5.0,4.0,5.0,v,v,r,"Phenomenal experience, great firm to work for","Exposure to different industries and functions
Working with great people
Meritocratic environment","Tough lifestyle with constant travel
High stress"
IBM,42750, Applications Developer,Former Employee,Bangalore,3,3.0,3.0,,3.0,2.0,1.0,v,r,r,Need to dig deep to learn,"No in out time, have lot of trainings","micro management, less leaves, lot of support project"
Deloitte,41878, Senior Manager,"Current Employee, more than 10 years","New York, NY",4,2.0,4.0,,4.0,3.0,4.0,v,v,v,Great company to work for,Work with top notch Fortune 100 clients. Seen as a market leader. Immediate credibility,Work Life balance needs to be adjusted
Hyatt,44313, Staff Accountant,"Current Employee, more than 5 years","Trinidad, CO",5,3.0,5.0,5.0,5.0,5.0,5.0,v,v,v,A great place to work!,"Great benefits, great salary, great teams to work with, room for growth and development.",Limited growth in Caribbean properties
Kier-Group,44272, Design Manager,"Current Employee, more than 10 years","Birmingham, England, England",5,5.0,4.0,4.0,5.0,4.0,4.0,v,v,v,Rewarding and Fulfilling Experience,"Variety of schemes, often comprising complex work. Great team/family feel environment to work in. Many lasting relationships formed.",Projects can be spread anywhere across UK and beyond
Kier-Group,43830, H R Administrator,Former Employee,,5,,,,,,,o,o,o,Wonderful experience,Very good company to work for. Very professional.,Can improve on internal working environment.
Booking-com,42086, Account Manager,Former Employee,Santo Domingo,5,4.0,4.0,,5.0,3.0,4.0,v,o,v,Best work experience ever!,"I love that it's a very open door policy, always improving, always innovating, there's always something new. People are very friendly and outgoing. I love that i get to travel a lot and see new places. There's opportunity to grow and it's encouraged. Environment is informal and relaxed.","Travelling so much can be difficult at time because I miss my boyfriend, family and events."
University-of-Michigan,42311, Anonymous Employee,"Current Employee, more than 10 years","Ann Arbor, MI",3,3.0,2.0,,3.0,3.0,1.0,o,o,o,Disconnected Managemnt,"Good healthcare benefits, good retirement plan","Poor management, Benefits get picked at each year (decreased raises, decreased percentage for matching), higher employee contribution.  Management has a disconnect on jobs and people skills"
SAP,42712, Manager,"Current Employee, more than 3 years","Toronto, ON",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Employee Focused Company,"Employee  Focused
Competitive Salary
Great performance in the markets = great bonus pay out.
Generous Equity Plan
Good Benefits","Differences between regions in benefits. A little too focused on early talent, this makes it difficult to hire senior or experienced colleagues."
J-P-Morgan,43903, Analyst,Current Employee,,2,1.0,3.0,,4.0,3.0,2.0,x,v,v,No work life balance,Good brand name and work culture,"No work life balance, everyone has to work during shift timing which eventually affect the health of people.
No work from access in the advance age of technology. Even during the Corona virus pandemic, people have to go to office and work."
Savills,42313, Anonymous Employee,Former Employee,,1,3.0,2.0,,1.0,3.0,2.0,x,o,r,Not a fan,"Very difficult to think of any positive remarks for this company, honestly I can't think of any at this time","Not many, very self centered all we care about is the bottom line, isn't loyal to its employees, large corporation politics"
Waitrose,43606, Team Manager,"Current Employee, more than 5 years","Cardiff, Wales, Wales",3,4.0,4.0,,3.0,4.0,3.0,x,x,x,Fast paced but also Fire Fighting,Most Partners treat each other with respect,"Head Office too soft on absence and sickness, don't back up managers when needed. This means that the hardworking Partners that care have to pick up the slack."
PwC,40005, ,Current Employee,,4,3.0,,,4.0,4.0,4.0,v,v,o,It's a job. Solid organization. Decent salary. Challenging work/life balance.,Good pay and benefits are a plus.,Travel can be extensive. Find local projects.
EY,44080, Audit Staff,"Current Employee, more than 1 year",Johannesburg,5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Great culture,Lots of learning opportunities and exposure to a great deal of clients within different industries. Great for professional development.,Lot of hours. Time management skills are a must have.
Microsoft,44272, Software Engineer,Former Employee,,5,,,,,,,o,o,o,Best company,Best company to work for,There are no downsides to work here
NHS,43711, Anonymous Employee,"Current Employee, more than 3 years","London, England, England",2,3.0,2.0,,1.0,5.0,1.0,x,r,r,Clinical research,"benefits, relax environment, cost-effectiveness, contact with patients","slow promotion, glass ceiling, Human resources uneffective"
Sage,43889, Tester,Current Employee,"Ker, Maharashtra, Maharashtra",2,4.0,3.0,,3.0,4.0,3.0,v,r,r,tester,good communication skill and good group work,short tempered is one of cons
HSBC-Holdings,44186, Compliance Officer,Former Employee,Central,3,,,,,,,o,o,o,Rundown,Good culture with the HSBC,Not popular among the industry
Tesco,42947, Anonymous Employee,Former Employee,,4,4.0,4.0,,4.0,3.0,3.0,v,v,v,W,making good friends at work and working with the public,"Cons
being on my feet for 9 hours a day"
McDonald-s,43379, Anonymous Employee,Former Employee,,3,2.0,2.0,,2.0,2.0,2.0,v,v,v,Great benefits,Nice employees and everyone is very helpful.,Long hours. Rude Customers.  Quick turnarounds.
Google,44247, Field Service Engineer,Former Employee,Cairo,4,2.0,3.0,5.0,4.0,3.0,5.0,v,o,v,Nothing,fast smart elegant helpful nice,not getting paid enough for all the work done
Bain-and-Company,42637, Manager Assistant,"Former Employee, more than 3 years",Melbourne,4,,,,,,,v,v,v,Manager Assistant,High performing culture with lots of training,High demand for management and unsustainable at times
PwC,43917, Specialist,"Current Employee, more than 5 years","Toronto, ON",3,1.0,3.0,,3.0,4.0,1.0,x,r,x,Great when you're young and starting off but no opportunity for advancement,Easy to move from office to office,"Long hours
No work-life balance
Very little opportunity at the top"
Jaguar-Land-Rover,42589, Current Manufacturing Engineer,"Current Employee, more than 1 year","Solihull, England, England",4,2.0,3.0,,4.0,4.0,3.0,v,r,v,"Hectic manufacturing environment, not for the faint of heart.","Privilege discount of certain JLR and Ford new vehicles.
Substantive role from day one.
Opportunities to present out to all levels of the business.","Stupid capital investment decisions.
Local leadership can be poor.
Professional development is patchy from area to area.
Low and middle management engage in petty empire building and unprofessional feuds."
Deloitte,44174, Manager,"Current Employee, more than 3 years","New York, NY",4,1.0,3.0,1.0,1.0,1.0,1.0,x,x,x,Advisory Manager,A lot of Paid Time Off days,Never get the time to take PTO without sacrificing performance metrics
LinkedIn,44115, Senior Software Engineer,Current Employee,,5,,,,,,,v,v,v,Great place to work,Management style is open and flexible. Co-workers are nice.,"Perks may not comparable to others, especially during the pandemic"
Countrywide-plc,43206, Anonymous Employee,Current Employee,,4,1.0,2.0,,4.0,2.0,4.0,v,r,r,Good,Trainingband progression loyalty the people there,Pay breaks long hours hours
BNY-Mellon,43391, ,Former Employee,,1,,,,,,,o,o,o,Valuations,"Learned a lot here.
Met great people",Management dont treat there staff well. Its not a good working environment
Oracle,44301, FR Accountant,"Current Employee, more than 1 year",Bangalore,4,5.0,5.0,5.0,3.0,4.0,5.0,v,v,v,Good company to work for,Great work life balance. Good culture,"Less opportunities for growth. But they will tell you initially at the time of joining, so its up to you to join."
KPMG,44154, Consultant,"Current Employee, more than 3 years",New Delhi,5,5.0,5.0,5.0,5.0,5.0,5.0,v,v,v,Perfect place to work,Nice company for work. Great,Healthy environment for every person
Sodexo,42957, Anonymous Employee,"Current Employee, more than 5 years",,2,1.0,1.0,,1.0,3.0,3.0,x,v,r,Sodexo @ U. Of Pittsburgh,Most of the people are fantastic. A lot of the people u come in contact with are genuinely nice polite people.,Unrealistic expectations from management. Poor payroll execution causing missing hrs and late payment of hrs. When there is an error in pay roll it could take OVER a week to fix even w/ state laws requiring payment in a timely manner. Micromanagement by hourly management.
Google,44105, Computer Programmer,"Current Employee, more than 1 year",,5,,,,,,,o,o,o,nice place to work,great environment and amazing team,work culture is tough to get used to
EY,44305, Assistant Manager,Current Employee,"Gurgaon, Haryana, Haryana",5,5.0,5.0,5.0,5.0,5.0,5.0,v,o,v,shcgjsxhksclk,"-Great work culture
-Opportunity to learn",One cannot expect proper life balance
McDonald-s,42645, Office Assistant,"Current Employee, more than 8 years","Phoenix, AZ",3,5.0,4.0,,,3.0,4.0,v,o,r,Cashier,"Good work environment, people, and overall team players for the most part.",Selling people body weight due to the human lack of self control.
Oracle,41638, ,"Former Employee, more than 3 years",,3,3.0,3.0,,3.0,3.0,3.0,x,r,r,Too short to really get to know Oracle ......,If you can hang with the big boys you are ok,Company is too big to feel the pulse of what is going on in there organization ..... they do not listen to there people
BT,42275, ,Current Employee,,4,4.0,4.0,,4.0,4.0,4.0,v,v,v,Good place to work,"Rewarding company, very good in terms of future prospects",cannot think of any at the moment.
RSM,42485, Anonymous Employee,"Former Employee, more than 1 year",,3,3.0,2.0,,3.0,3.0,2.0,o,r,r,Sales,Lots of flexibility with minimal interference from senior leadership; broad range of services to offer,Difficult to cross sell services because the target clients were different for different lines of business
Oracle,42400, Anonymous Employee,Current Employee,,2,3.0,1.0,,2.0,3.0,2.0,x,x,v,"Rigid, backward, and unpleasant",Good salary and  nice office,I've never worked with less pleasant people or management. Almost every conversation involving more than one group ends (and/or starts) with an argument.  Direction is arbitrary. The tools are stone age (a proprietary mail client and source control? really?)
Grant-Thornton,41801, Senior Consultant,"Current Employee, more than 3 years","Philadelphia, PA",3,4.0,4.0,,3.0,3.0,3.0,v,v,v,Grant Thorton has offered a robust learning environment.,Grant Thornton has a robust learning platform as well as annual trainings.,Low salary and not enough management interaction.
Hays,42464, ,Current Employee,,3,,,,,,,o,o,o,Senior Manager,"World class brand, brilliant career progression, ability to transfer if required, great office atmosphere",Low basis make hiring consultants with market experience pretty difficult
B-and-Q,42302, Customer Advisor,"Former Employee, less than 1 year","Glasgow, Scotland, Scotland",4,4.0,4.0,,3.0,4.0,3.0,v,r,r,Good company to work for,"Staff are friendly,  staff discount and good flexible hours.",Very hard to get a full time position. Customers can be very rude. Not a lot of training given to new starters.
Oracle,44345, Senior Principal Quality Assurance Engineer,"Current Employee, more than 5 years",Thiruvananthapuram,1,4.0,3.0,4.0,2.0,1.0,2.0,x,o,x,"Good work culture, very bad pay , No yearly appraisal compensation and Lot of work",Work culture is good. Some CSR activities are there . Frankly very bad review nowadays for oracle. Service companies pay more than oracle. Not a prime company now,"Bad pay for salary, No hikes or compensations, Even promotions don't change the pay slab instantly and may have to wait year or two for hikes related to promotion to cme"
Balfour-Beatty,43024, Anonymous Employee,"Former Employee, more than 10 years",Kuala Lumpur,4,5.0,4.0,,3.0,3.0,5.0,v,v,v,Design Coordinator/ Interface Manager,"The working environment in BBASJV SB was structured and with a strong follow-up of important issues regarding the progress of the project.
As a HOD we had weekly Management Meetings to follow up and resolve technical and issues.
HQ and every site office had a weekly toolbox (Mondays) to inform staff about actual near miss in the project and within the BBR Group World Wide. On a good and interesting approach, the staffs was informed each week of being careful and vigilant in their daily work. Management also encouraged the staff to report near miss and minor accidents which occurred during the progress of the project. 
That created an open and honest environment which I liked during the NEDTP.
Finally it was a good mix of the project members and that gave a smooth corporation both internally and externally so the working environment become very good.","Due to the situation it was two big global companies which had created a Joint Venture; Balfour Beatty Rail (60%) and Ansaldo Systems (40%) for the Malaysia NEDTP. 
Two different Management Cultures (English/ Italian) and for very big issues it could take long time for the Board to get information/ decisions to move further on with the project progress.
Thank become frustrated from time to time."
next,43892, Sales Assistant,"Former Employee, less than 1 year","Dudley, England, England",1,3.0,4.0,,1.0,2.0,1.0,x,r,r,Terrible Management,"The staff were a great help to any queries I had, it was a shame they didn't get paid extra for this as they showed me more than the management.","1st week of working there, team managers switched over since one went on holiday. I was shadowed and trained during the 1st week but from then on I was left to my own devices and to figure out everything from other staff there. They weren't responsible for this. The management decided to move me to different stations I wasn't familiar to, and my performance was always timed and tracked so I couldn't get a grip with different areas. I then found out that my manager has only been in the Delivery team for only 6 months and only worked on the shop floor previously. My performance ended up being so low that my contract was terminated."
IBM,43250, Anonymous Employee,"Current Employee, more than 10 years","Toronto, ON",4,4.0,4.0,,4.0,4.0,3.0,v,o,o,IBM Canada review,Breadth of opportunity to work with different technologies and client industries.,There can be quite a lot of bureaucratic overhead
Department-of-Health-UK,44145, Policy Advisor,Current Employee,"Manchester, England, England",5,,,,,,,o,o,o,Great workplace,Work life balance and job satisfaction,Changing priorities and lack of visibility for work outcomes
Citi,39615, Business Analyst,Current Employee,"Long Island City, NY",3,2.0,,,2.0,1.0,3.0,x,r,o,Slowly coming back.  Give it 5 years.,"Easy Commute, smart individulas, good emloyees",HR doesn't implement rules in a uniform manner
J-P-Morgan,42229, ,Current Employee,"Tampa, FL",4,3.0,4.0,,5.0,5.0,3.0,v,v,v,IT Risk Lead,Great benefits and work environment,career growth is somewhat difficult.  Salaries are not competitive
University-of-Reading,43692, Anonymous Employee,"Current Employee, more than 3 years",,5,3.0,5.0,,2.0,3.0,3.0,v,r,r,Great place to work,"Friendly environment, supportive colleagues, flexible working",Limited career opportunities due to nature of organisation
Sodexo,42266, Anonymous Employee,Current Employee,,2,1.0,3.0,,3.0,2.0,1.0,o,o,o,Misleading,"The company provides good benefits and decent pay. They also provide a good amount of training, and there are opportunities for advancement. There are many areas of focus, including multiple types of foodservice and facilities management.","While the company touts the importance of work/life balance, salaried employees have an enormous workload, often resulting in 60-75 hour work weeks. There is an inordinate amount of paperwork, and much of it is repetitive and redundant. Senior management does not always seem to communicate with each other very well. At times, you may receive little to no direction or conflicting messages from Sr. management."
Salesforce,43390, Anonymous Employee,Current Employee,"Indianapolis, IN",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Best place I've ever worked,"Everyone is valued; emphasis on work/life balance; everyone works hard but the atmosphere is still relaxed; Salesforce really cares about employees and challenges you to care about others, your community, and the world",None that I have found
Vodafone,44220, Global Service Manager,Former Employee,,4,,,,,,,o,o,o,Work culture,"Freedom of speech 
Flexibility
Friendly 
Training
Perks","Pays Scale variance 
Lack of Internal promotion"
Vodafone,44302, Business Account Manager,"Former Employee, less than 1 year","Sheffield, England, England",3,4.0,4.0,5.0,3.0,5.0,1.0,x,x,x,Good but bad management,"Good working life
Good pay
Good commission 
Good experience working with big companies","Awful management 
Unorganised 
Unprofessional at times"
BT,44323, Solution Designer,"Current Employee, more than 3 years",Bangalore,4,5.0,5.0,5.0,4.0,4.0,4.0,v,v,r,Good to work,"Nice salary
Additional perks such as phone bill and broadband
Bonus and rewards
Work life balance","Less onsite opportunities 
Slower processes
NA
NA
NA"
McDonald-s,42288, Crew Trainer,Current Employee,"Birmingham, England, England",4,3.0,4.0,,4.0,2.0,3.0,v,v,v,Crew trainer,"Make good friends, free food on your break!",The uniform isn't the best.
University-of-Newcastle-UK,43087, Anonymous Employee,Former Employee,,4,4.0,,,4.0,,,v,v,v,Jobs On Campus Student Temp,"very flexible hours
very friendly people managing and assigning jobs
good variety of different jobs and shifts",can be hard to get some of the more popular shifts
Morgan-Stanley,41946, Financial Advisor,"Current Employee, more than 5 years",,2,3.0,1.0,,2.0,2.0,1.0,x,x,x,Financial Advisor / Portfolio Manager,"Remarkably, there are still a lot of really bright and impressive people left at the firm. The discounted cell-phone bill is really nice.","The company is a mess. The seemingly endless technology rollouts to implement software platforms that were designed to fix systems that were more than fine merely disrupted work flow. There is a disconnect between upper management and those who work with clients on a day to day basis. The firm is rather top heavy with management, creating a ""too many chiefs..."" scenario. Most of the talented advisors and assistants left within the first 2-years of the Smith Barney."
McKinsey-and-Company,44029, Knowledge Analyst,"Former Employee, more than 1 year",Wrocław Pracze,4,2.0,4.0,,5.0,5.0,3.0,v,r,r,Pool of talented people,"- Very talented and interesting people
- Very interesting projects
- You can really help driving impact since day 1
- High variety of projects and things to learn
- Benefit & Compensation
- Good exit options","- Talented people but many times arrogant / snob
- Very bad work-life balance
- High pressure"
Grant-Thornton,44317, Assistant Manager,Former Employee,Bangalore,4,1.0,5.0,5.0,3.0,3.0,4.0,v,v,v,Audit firm with Excellent org culture,"Great people to work with - very smart
Flat Heirachy with a first name basis relationship built with all, from campus hired analysts to partners and directors across the globe
Very friendly environment, which helps a lot in the busy season - gives you the family vibe","Slow to adapt to change
Transparency reduces with the increase in number of employees
Limited opportunity to grow 
Very long hours"
University-of-Leicester,43087, Anonymous Employee,Former Employee,,3,,,,,,,o,o,o,OK,"Fun team, varied work, flexible","Favouritism from management, inexperienced management"
Apple,42432, Anonymous Employee,Current Employee,,3,3.0,4.0,,3.0,5.0,4.0,o,v,o,Apple inc.,"Great company to work for
Looks great on resume","since its retail the hours are crappy 
Have to work on holidays"
Goldman-Sachs,43395, Anonymous Employee,Former Employee,,2,,,,,,,o,o,o,Investment Banking Analyst,Great name and brand and deal access,terrible hours and lifestyle and poor mentorship
ASDA,44345, Section Leader,"Current Employee, more than 5 years","Birmingham, England, England",4,3.0,4.0,5.0,3.0,4.0,4.0,v,r,v,Great place to work,Variety of job roles available,Always involves working Saturday or Sunday
IBM,42229, Technical Project Manager,"Current Employee, more than 1 year","Virginia Beach, VA",4,3.0,4.0,,5.0,5.0,3.0,v,r,v,Technical Project Manager,"Fantastic benefits, great pay, wonderful knowledge bases to tap into for career expansion. Opportunities for training and education are available and encouraged.","As with any large corporation, navigating the many different ways to obtain information and assistance can be challenging. Work/life balance can be tilted to work a lot of the time."
Pearson,43250, Enrollment Advisor,"Current Employee, less than 1 year","Chandler, AZ",4,5.0,4.0,,4.0,5.0,4.0,v,v,v,"Good Place to work, Not Great","Decent pay, great benefits, nice office building","Gets boring, talking to co-workers seems frowned upon, unless talking over the cube wall."
Barclays,42188, Senior Full Stack Developer,Former Employee,"London, England, England",4,4.0,3.0,,3.0,3.0,3.0,v,x,r,Used to be great work place,Good internal mobility. Good place to learn about exotics derivatives and structured products.,Politics. Decision making can be slow.
McDonald-s,43425, Manager,"Former Employee, more than 5 years","Owensboro, KY",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great place to work fir good people,Free meals great people,None none none none none
Cushman-and-Wakefield,42507, Desktop Engineer,"Former Employee, more than 1 year","London, England, England",5,4.0,4.0,,4.0,4.0,4.0,v,o,v,My time at C&W,"Good people, great working environment",not many things to disagree about. had a great time and still have many good friends
IBM,43727, Anonymous Employee,Current Employee,,2,,,,,,,o,o,o,System administrator,Work from home option in IBM,Salary hike in GTS Dept.
Adecco,42797, Anonymous Employee,Former Employee,,4,,,,,,,x,r,r,Google Shopping Express,"ok benefits, ok pay, mostly meh","travel needed, hours and days needed to work not great"
Deloitte,43370, Audit Senior,"Current Employee, more than 3 years","Omaha, NE",4,3.0,4.0,,5.0,3.0,4.0,v,v,v,Great experience,"-provides a lot of growth and learning opportunities
-great networking opportunities
-AMAZING benefits",=-busy season hours not just in busy season (not predictable)
Oracle,44225, Technical Support Engineer,Former Employee,,4,1.0,2.0,2.0,3.0,3.0,2.0,x,r,r,Grinding out sales,On the bleeding edge of technology,Sales will say anything to get their bonuses
KPMG,44257, Assistant Manager,"Former Employee, more than 3 years",Bangalore,3,1.0,2.0,4.0,3.0,4.0,3.0,x,v,v,IT and Digital Transformation,A big step into the consulting world. Helped me pull my socks up!! I learnt a lot here and how to cope with pressure while working on multiple projects and vendors at the same time.,Be ready to be thrown into the deep end of the ocean. Guess thats how you would learn... do not expect hand holding as the expectation is to hit the ground running. If you cant do the above - Consulting is not a career for you.
McKinsey-and-Company,42810, Anonymous Employee,"Current Employee, less than 1 year",,5,,,,,,,o,o,o,xxx,"international company, relocation possible, grow opportuinities","no cons, no comments, all good so far"
EY,44248, Senior Auditor,"Former Employee, more than 3 years",Tel Aviv-Yafo,3,1.0,3.0,3.0,3.0,2.0,4.0,v,v,x,good for internship but no more than that,good pepole and nice office,Bad partners and bad salaries
The-Range,43383, Customer Service Supervisor,"Former Employee, more than 1 year","London, England, England",3,3.0,2.0,,3.0,4.0,4.0,x,x,x,Not too bad to work for.,"Team, discount, breaks, customers, different every day","Pay, shifts, upper management not professional."
PwC,41163, Consultant,"Former Employee, less than 1 year",Calcutta,1,1.0,2.0,,3.0,5.0,1.0,x,o,r,Not suitable for freshers,"1. Considerably food initial package
2. Colleagues are warm hearted
3. Nothing else practically","1. Poor work-life balance
2. Poor work distribution
3. Poor HR skills
4. Scapegoating by senior colleagues
5. Lack of clarity
6. Poor training
7. Non-planned recruitment [in the sense of hiring a plumber to drive cars]"
Department-for-Work-And-Pensions,44010, UC Work Coach,Current Employee,"York, England, England",3,3.0,2.0,,2.0,2.0,3.0,x,r,r,Reasonable employer,"Flexi time, annual leave, pension","Poor pay, unreasonable workload and attendance management policy"
SAP,44102, Account Executive,"Former Employee, more than 1 year","San Ramon, CA",5,2.0,3.0,,3.0,5.0,5.0,v,o,v,Great place to work if you are not in sales,a lot of benefits. Very good salaries,A lot of pressure if you are in the sales area. Not a lot of possibilities to grow
Salesforce,42941, QA Tester,"Former Employee, more than 1 year","New York, NY",5,4.0,4.0,,4.0,5.0,5.0,v,v,v,Best place to ever be fired from,"Seriously though, one of the VPs called me personally to tell me there were a round of lay-offs and I would be effected.

They paid us till the end of the month and THEN gave us (a generous) severance.

They even set us all up with a company that specified in helping find people jobs (and professionally re-did my resume) and allowed people access to their work computer for the rest of the month in case they needed Word or something similar.","I mean they DID let me go, which kind of stunk... but I'm not really angry."
University-of-Michigan,44220, Student Grader,"Current Employee, less than 1 year","Ann Arbor, MI",5,,,,,,,o,o,o,Not bad,It's higher than I expected.,It's pretty good. Can't think of one.
Primark,42566, Retail Assistant,Former Employee,,3,3.0,3.0,,3.0,3.0,3.0,v,o,o,Positive experience,"Great colleagues, flexible hours so good for part-time recruits","Busy, can be stressful at times"
RSM,43939, FS Tax Senior,"Current Employee, less than 1 year","New York, NY",1,2.0,1.0,,3.0,3.0,1.0,x,r,v,Dont go to RSM,"Smaller office, In NYC, clients are not difficult.","Where do I begin???? I came from GT, thinking the hours and people would be better here. They are not. Thought I could study for my cpa, but they just keep on adding work to my schedule.... They have ex big4 people here, so the hours are big 4 hours, but the pay is lower then a small firm."
GlaxoSmithKline,42768, Supply Chain,"Former Employee, more than 10 years","Pittsburgh, PA",4,4.0,4.0,,4.0,5.0,4.0,v,v,r,Made my life great,"Pay, benefits, opportunity.  Great colleagues.  Variety of work available.",Management that allowed a few terrible VPs to remain even after many colleagues complained about them.  Surprised there weren't lawsuits over a few.
BT,43130, Manager,"Current Employee, less than 1 year","Leeds, England, England",3,3.0,2.0,,5.0,3.0,2.0,v,r,v,Telecoms manager,Very good career prospects with this company.,High workloads in certain areas.
IBM,43143, Data Stage Developer,"Current Employee, more than 3 years",Bangalore,4,4.0,4.0,,4.0,2.0,4.0,o,o,o,IBM is a good place to work,"Flexible , healthy work environment, work-life balance, good moral values,",Minimal hikes for employees here
Oracle,43305, Anonymous Employee,Former Employee,,3,4.0,3.0,,3.0,2.0,2.0,v,x,o,Project Lead,"good Work life balance 
work from home","very less hike
less opportunity to grow"
IBM,44311, RSM,"Current Employee, more than 10 years","Yorktown, NY",4,5.0,5.0,5.0,3.0,3.0,5.0,v,o,v,Takes social responsibility seriously,"social responsibility, flexibility, benefits, adoption of Open Organization, (Red Hat), encouragement of initiative taking","compensation, skills growth, still working on the Open Organization, complex organizational processes, few free meals"
GlaxoSmithKline,42639, ,Former Employee,,5,4.0,5.0,,4.0,4.0,4.0,v,v,r,Hands down the best in the industry in growing talent.,"=- Great succession planning
- either a leader or driver in changing the industry
- world class training and development","=- Homegrown talents can be fetched by other companies because of exemplary training
- change in business model was costly"
EY,41822, Assurance Associate At EY,"Current Employee, less than 1 year","Gurgaon, Haryana, Haryana",1,4.0,2.0,,3.0,4.0,3.0,x,v,v,Pathetic,"Great brand name, luxury, feels good to be a part of it !","Extremely bad work culture, politics, poor admin, weak HR."
Anglian-Water,42719, Anonymous Employee,"Current Employee, more than 1 year","Lincoln, England, England",5,4.0,5.0,,5.0,5.0,5.0,v,v,v,Contact Centre,Supportive and approachable management with plenty of opportunities to progress if you demonstrate the right behaviours. Very customer service orientated and customer satisfaction is their highest priority. Great work related benefits such as private health care,Can be a challenge as a new starter to learn policy/system and how to serve customers
Salesforce,44018, Analyst,"Current Employee, less than 1 year","San Francisco, CA",5,5.0,5.0,,5.0,5.0,5.0,v,v,v,Great culture!,"Hiring process is very well-structured and organized. The culture is so positive and laidback! Flexible PTO, Mental/Physical Well-being benefits, great colleagues!","No commuter stipend, no student loan repayment"
EY,43651, Tax Analyst,"Current Employee, more than 1 year",,4,3.0,4.0,,4.0,4.0,3.0,v,v,r,Very good,Supporting colleagues! Good workplace.. Awesome to be a part of EY,No cons when you are enjoying the work..
KPMG,44230, Analyst,"Current Employee, more than 1 year",Bangalore,5,4.0,5.0,5.0,5.0,3.0,4.0,v,v,v,Good work culture,Awesome work culture and environment,No Any I faced as of now
